,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
2277,2277,003281,广发活期宝货币B,货币型,2021-09-22,0.0,0.21,0.62,1.27,1.91
2301,2301,003316,中银证券现金管家货币A,货币型,2021-09-22,0.0,0.17,0.5,1.02,1.54
2302,2302,003317,中银证券现金管家货币B,货币型,2021-09-22,0.0,0.19,0.56,1.14,1.72
2345,2345,003388,招商招益宝货币A,货币型,2021-09-22,0.0,0.18,0.54,1.09,1.62
2346,2346,003389,招商招益宝货币B,货币型,2021-09-22,0.0,0.2,0.6,1.21,1.8
2348,2348,003391,建信天添益货币A,货币型,2021-09-22,0.0,0.21,0.61,1.25,1.86
2349,2349,003393,建信天添益货币C,货币型,2021-09-22,0.0,0.21,0.61,1.25,1.86
2354,2354,003398,太平日日金货币A,货币型,2021-09-22,0.0,0.15,0.53,1.03,1.52
2355,2355,003399,太平日日金货币B,货币型,2021-09-22,0.0,0.17,0.59,1.15,1.7
2358,2358,003402,安信活期宝货币A,货币型,2021-09-22,0.0,0.19,0.56,1.13,1.7
2368,2368,003422,国寿安保添利货币A,货币型,2021-09-22,0.0,0.15,0.46,0.94,1.4
2369,2369,003423,国寿安保添利货币B,货币型,2021-09-22,0.0,0.17,0.52,1.06,1.58
2395,2395,003465,平安金管家货币A,货币型,2021-09-22,0.0,0.22,0.62,1.26,1.86
2396,2396,003467,富荣货币A,货币型,2021-09-22,0.0,0.16,0.5,1.02,1.5
2397,2397,003468,富荣货币B,货币型,2021-09-22,0.0,0.18,0.56,1.14,1.67
2400,2400,003473,南方天天利货币A,货币型,2021-09-22,0.0,0.19,0.56,1.14,1.71
2401,2401,003474,南方天天利货币B,货币型,2021-09-22,0.0,0.21,0.62,1.27,1.89
2404,2404,003478,民生加银腾元宝货币A,货币型,2021-09-22,0.0,0.19,0.55,1.14,1.71
2405,2405,003479,财通资管鑫管家货币A,货币型,2021-09-22,0.0,0.17,0.52,1.06,1.58
2406,2406,003480,财通资管鑫管家货币B,货币型,2021-09-22,0.0,0.19,0.58,1.18,1.76
2407,2407,003481,光大耀钱包货币B,货币型,2021-09-22,0.0,0.19,0.59,1.19,1.78
