,Unnamed: 0,代码,名称,类型,当天日期,当天净值,近一个月涨幅,近三个月涨幅,近六个月涨幅,今年以来涨幅
8547,8547,162411,华宝标普油气上游股票人民币A,QDII,2021-09-22,0.431,18.9,-7.61,6.63,48.67
8551,8551,162415,华宝标普美国消费人民币A,QDII,2021-09-22,2.192,2.1,4.28,7.56,11.21
8565,8565,162719,广发道琼斯石油指数人民币A,QDII,2021-09-17,1.1156,8.1,-3.33,3.68,46.02
8581,8581,163208,诺安油气能源,QDII,2021-09-17,0.627,3.47,-5.71,-2.79,29.55
8607,8607,163813,中银全球策略,QDII,2021-09-17,0.709,0.85,1.58,3.2,3.96
8632,8632,164701,汇添富黄金及贵金属,QDII,2021-09-22,0.746,-1.32,-0.8,0.0,-8.91
8635,8635,164705,汇添富恒生指数A,QDII,2021-09-22,0.9694,-2.39,-12.79,-14.95,-10.72
8642,8642,164824,工银印度基金人民币,QDII,2021-09-17,1.2573,5.17,10.09,13.74,20.34
8647,8647,164906,交银中证海外中国互联网指数,QDII,2021-09-17,1.309,6.42,-24.64,-40.17,-34.06
8658,8658,165510,信诚四国配置,QDII,2021-09-17,0.78,0.13,-6.59,-7.36,-4.18
8661,8661,165513,信诚全球商品主题,QDII,2021-09-22,0.415,11.86,-0.72,13.08,40.2
8764,8764,183001,银华全球优选,QDII,2021-09-17,1.31,-1.65,-1.28,0.31,5.65
8809,8809,202801,南方全球精选配置,QDII,2021-09-17,1.193,1.1,-5.32,-2.85,1.41
8814,8814,206006,鹏华全球中短债(QDII)人民币A,QDII,2021-09-17,0.8899,-5.71,-13.1,-15.85,-15.46
8818,8818,206011,鹏华美国房地产(QDII),QDII,2021-09-17,0.918,-1.18,2.23,16.06,16.06
8904,8904,241001,华宝海外中国成长混合,QDII,2021-09-22,1.802,-0.22,-16.65,-17.49,-11.32
8938,8938,262001,景顺长城大中华混合(QDII)人民币,QDII,2021-09-17,2.259,-2.33,-11.06,-10.11,-4.8
8951,8951,270023,广发全球精选股票(QDII),QDII,2021-09-17,3.299,6.38,-0.72,-4.46,-0.87
8958,8958,270042,广发纳斯达克100指数A,QDII,2021-09-17,4.3688,1.9,8.89,15.94,18.32
9007,9007,320013,诺安全球黄金,QDII,2021-09-17,0.984,-2.38,-1.3,-0.61,-8.97
9011,9011,320017,诺安全球收益不动产,QDII,2021-09-17,1.673,-2.11,0.72,11.83,21.32
9055,9055,377016,上投摩根亚太优势混合,QDII,2021-09-17,1.011,0.33,-7.08,-8.59,-7.76
9060,9060,378006,上投摩根全球新兴市场混合,QDII,2021-09-17,1.2717,-0.14,-5.74,-7.65,-8.29
9062,9062,378546,上投摩根全球天然资源混合,QDII,2021-09-17,0.7382,-3.49,-6.05,-4.5,8.29
9134,9134,457001,国富亚洲机会股票(QDII),QDII,2021-09-17,1.613,-0.43,-8.82,-10.74,-1.93
9143,9143,460010,华泰柏瑞亚洲领导企业混合,QDII,2021-09-17,1.621,0.93,-5.04,-6.25,-3.4
9167,9167,470888,汇添富香港混合(QDII),QDII,2021-09-22,1.072,7.41,-16.05,-17.16,-19.22
9199,9199,486001,工银全球股票(QDII)人民币,QDII,2021-09-17,1.574,1.03,-1.25,-0.63,2.94
9200,9200,486002,工银全球精选股票(QDII),QDII,2021-09-17,3.247,0.5,5.52,9.96,12.35
9217,9217,501018,南方原油A,QDII,2021-09-17,0.848,6.96,4.67,12.6,45.65
9219,9219,501021,华宝香港中小(QDII-LOF)A,QDII,2021-09-22,1.7107,0.52,-9.0,-5.3,-1.76
9289,9289,501300,海富通全球收益债券人民币,QDII,2021-09-17,1.0297,-1.78,-0.86,-1.61,-1.57
9473,9473,519601,海富通中国海外混合,QDII,2021-09-17,2.084,-5.74,-16.34,-16.31,-11.51
9474,9474,519602,海富通大中华混合(QDII),QDII,2021-09-17,1.355,-5.64,-16.25,-16.67,-11.67
9537,9537,519696,交银环球精选混合(QDII),QDII,2021-09-17,2.686,0.22,1.4,6.76,8.83
9630,9630,519981,长信标普100等权重指数人民币,QDII,2021-09-17,1.652,-1.43,2.35,6.99,15.12
9667,9667,539001,建信全球机遇混合(QDII),QDII,2021-09-17,1.725,-0.86,3.29,6.75,10.65
9668,9668,539002,建信新兴市场混合(QDII),QDII,2021-09-17,0.939,1.73,-5.15,-8.21,-2.59
9669,9669,539003,建信富时100指数(QDII)人民币A,QDII,2021-09-17,0.829,-3.72,-3.14,2.31,9.28
